,event_year,event_month,district,landslide_size,fatality_count,injury_count,latitude,longitude
414,2009,10,"Siddhesory VDCs and Bindavasini VDCs villages, Accham district",medium,3.0,0.0,29.2611,81.1833
415,2013,05,Kathmandu,medium,1.0,2.0,27.7366,85.3305
416,2011,07,Palpa,medium,0.0,0.0,27.8173,83.4644
417,2016,06,Sindhupalchok,medium,0.0,5.0,27.8027,85.9149
418,2011,08,Tanahu,medium,0.0,0.0,27.9604,84.2231
419,2013,07,"Tansen-Tamghas Section, Siddhartha Highway",medium,0.0,0.0,27.9706,83.397
420,2009,07,Tanahu,medium,3.0,0.0,27.9582,84.2726
421,2016,07,Parbat,medium,1.0,8.0,28.1855,83.6527
422,2011,07,Bhojpur,medium,0.0,0.0,27.1722,87.0479
423,2013,07,Nawalparasi,medium,5.0,0.0,27.6746,83.7533
424,2015,06,Sertung,small,0.0,0.0,28.172,85.0852
425,2013,09,Chokati Of Sindupalchowk District,medium,3.0,0.0,27.7757,85.9614
426,2011,08,Rukum,medium,0.0,0.0,28.6572,82.2345
427,2010,09,"Araniko hwy, between Bandeu and Tatopani, Bagmati",medium,0.0,0.0,27.8143,85.8315
428,2015,04,Langtang Valley,large,60.0,0.0,28.2064,85.575
429,2008,07,Sankhuwasabha,medium,0.0,0.0,27.6,87.24
430,2015,04,Between Mungling and Narayanghat,small,6.0,10.0,27.7908,84.4783
431,2011,08,Kalikot,medium,0.0,0.0,29.2385,81.7285
432,2010,08,Gulmi,medium,0.0,0.0,28.0276,83.3164
433,2014,08,Finam-6,medium,2.0,7.0,28.0081,84.6476
434,2016,06,KI Singh Highway,medium,0.0,0.0,29.3038,80.6581
435,2010,07,Baglung,medium,3.0,0.0,28.4197,83.1421
436,2011,08,Modikhola Hydro Project,medium,0.0,0.0,28.2719,83.7405
437,2013,09,Dhankuta,medium,0.0,0.0,26.9318,87.3201
438,2011,08,Baitadi,medium,2.0,0.0,29.2027,80.5307
439,2016,09,Gorkha,medium,4.0,17.0,28.3131,84.9895
440,2008,08,Kalikot,medium,0.0,0.0,29.2,81.7
441,2013,07,Dolakha,medium,0.0,0.0,27.7713,86.166
442,2016,10,Sindhupalchok,medium,3.0,2.0,27.7759,85.8701
443,2009,08,Mechi Highway at Siteni of Kolbu-9 (Kolbung??),medium,0.0,0.0,26.8042,88.125
444,2010,08,Dang,medium,0.0,0.0,27.7592,82.6335
445,2007,08,Gulmi,medium,3.0,0.0,28.0877,83.0971
446,2011,07,Khotang,medium,0.0,0.0,27.26132994,86.77220558
447,2008,08,Amkot in Brahmatola VDC ward-2 ,large,10.0,0.0,29.428,81.28
448,2013,09,"Mahabharat, Eastern Region",medium,0.0,0.0,26.8988,87.2773
449,2014,08,Rolpa,medium,3.0,0.0,28.3537,82.6184
450,2010,12,Bajhang,medium,5.0,0.0,29.7415,81.2467
451,2014,06,Bajura,medium,3.0,0.0,29.5442,81.6254
452,2007,07,Baglung,medium,7.0,0.0,28.1952,83.6099
453,2015,08,Palpa,medium,3.0,0.0,27.7185,83.47
454,2014,07,Sindupalchowk,small,6.0,5.0,27.9411,85.6838
455,2016,07,Solukhumbu,large,0.0,0.0,27.7009,86.726
456,2011,08,Rolpa,medium,3.0,0.0,28.7014,82.6513
457,2014,08,Surkhet,large,0.0,0.0,28.61209203,81.64645269
458,2016,07,Bajhang,large,0.0,0.0,29.8825,81.2603
459,2007,09,Saghutar in Rammechap District,medium,0.0,0.0,27.3258,86.087
460,2009,12,Bajhang,medium,1.0,0.0,29.48,80.94
461,2016,07,Okhaldhunga,unknown,0.0,0.0,27.3027,86.5079
462,2007,09,Naubise-Simbhanjyang stretch of the Tribhuwan Highway,medium,9.0,0.0,27.5964,85.1114
463,2013,09,Baglung,medium,0.0,4.0,28.4505,83.342
464,2008,07,Pasang Lhamu Highway at Ramche,medium,0.0,0.0,27.09,86.37
465,2016,10,Sapatakoshi Bridge,medium,0.0,0.0,26.8772,87.3215
466,2011,08,Kathmandu,medium,2.0,0.0,28.3594,82.1279
467,2013,06,"Kuntiwandali-3, Accham, Western Region",medium,2.0,3.0,29.0508,81.3
468,2011,08,Jumla,medium,0.0,0.0,29.139,81.773
